Medication,Number of Mentions,Percentage
aspirin,5737,12.125375153231602
lisinopril,3341,7.061334911442701
lipitor,3319,7.014837046117428
atenolol,2944,6.222259796254808
"insulin, regular, human",1993,4.212283890603205
metformin hydrochloride,1751,3.7008073720251935
plavix,1571,3.3203702920911358
hydrochlorothiazide,1469,3.1047892801285033
glyburide,1441,3.0456101788054277
toprol,1160,2.4517056262417047
norvasc,1149,2.4284566935790677
lopressor,1134,2.3967536035845627
simvastatin,1091,2.305871412266982
metoprolol succinate,1031,2.179059052288963
glucophage,1002,2.1177664116329207
nitroglycerin,878,1.855687534345014
zocor,789,1.6675825337109522
zestril,707,1.4942723084076595
cozaar,576,1.2173986557889842
glipizide,534,1.1286300038043708
isosorbide mononitrate,501,1.0588832058164603
lantus,482,1.0187259584900874
atorvastatin,457,0.9658874751659129
amlodipine benzoate,450,0.9510926998351439
ecoza,400,0.8454157331867946
labetalol,355,0.7503064632032802
nifedipine,351,0.7418523058714123
avandia,342,0.7228304518747094
pravachol,327,0.6911273618802046
captopril,305,0.6446294965549308
verapamil,279,0.5896774738977892
ecotrin,276,0.5833368558988883
isordil,274,0.5791097772329543
diltiazem,260,0.5495202265714165
pravastatin,250,0.5283848332417467
glucotrol,228,0.48188696791647295
insulin isophane,225,0.47554634991757194
diovan,220,0.4649786532527371
procardia,220,0.4649786532527371
novolog,208,0.4396161812571332
clopidogrel bisulfate,206,0.43538910259119923
losartan,205,0.43327556325823224
humulin,201,0.4248214059263643
avapro,193,0.40791309126262837
zetia,186,0.39311831593185953
lopid,179,0.3783235406010906
enalapril maleate,156,0.32971213594284987
humalog,155,0.3275985966098829
dyazide,148,0.312803821279114
actos,136,0.2874413492835102
tricor,134,0.2832142706175762
bio-statin,127,0.2684194952868073
gemfibrozil,112,0.2367164052923025
coreg,111,0.23460286595933552
cardizem,109,0.23037578729340155
lovastatin,99,0.20924039396373167
carvedilol,97,0.2050133152977977
vasotec,91,0.19233207929999577
nitroglycerin 9 mg oral capsule,78,0.16485606797142494
crestor,77,0.16274252863845795
mevacor,73,0.15428837130659004
sotalol,73,0.15428837130659004
"insulin isophane, human",72,0.15217483197362303
glucovance,70,0.14794775330768906
isosorbide dinitrate,69,0.14583421397472207
fosinopril,69,0.14583421397472207
altace,67,0.1416071353087881
pioglitazone,63,0.13315297797692016
metoprolol tartrate,63,0.13315297797692016
niacin,61,0.1289258993109862
zestoretic,59,0.12469882064505221
niaspan,52,0.1099040453142833
hyzaar,51,0.10779050598131631
prinivil,51,0.10779050598131631
irbesartan,51,0.10779050598131631
