Medication,Frequency (Patient Level),Percentage
aspirin,260,7.862110674327185
lipitor,172,5.2010885999395216
lisinopril,165,4.989416389476867
atenolol,135,4.082249773208346
"insulin, regular, human",130,3.9310553371635923
metformin hydrochloride,113,3.41699425461143
lopressor,109,3.296038705775627
nitroglycerin,98,2.9634109464771696
plavix,95,2.8726942848503176
hydrochlorothiazide,91,2.7517387360145147
metoprolol succinate,85,2.5703054127608103
simvastatin,80,2.419110976716057
glyburide,78,2.3586332022981558
toprol,72,2.1771998790444513
norvasc,67,2.0260054429996974
zocor,64,1.9352887813728454
glucophage,56,1.6933776837012398
zestril,45,1.3607499244027819
isosorbide mononitrate,43,1.3002721499848804
atorvastatin,43,1.3002721499848804
lantus,41,1.2397943755669791
insulin isophane,34,1.0281221651043242
ecoza,34,1.0281221651043242
amlodipine benzoate,34,1.0281221651043242
cozaar,34,1.0281221651043242
glipizide,31,0.9374055034774721
captopril,31,0.9374055034774721
bio-statin,28,0.8466888418506199
clopidogrel bisulfate,26,0.7862110674327185
labetalol,24,0.725733293014817
nifedipine,22,0.6652555185969156
pravachol,21,0.6350166313879648
avandia,21,0.6350166313879648
humulin,21,0.6350166313879648
diltiazem,21,0.6350166313879648
novolog,20,0.6047777441790142
diovan,19,0.5745388569700636
nitroglycerin 9 mg oral capsule,19,0.5745388569700636
isordil,19,0.5745388569700636
ecotrin,19,0.5745388569700636
humalog,18,0.5442999697611128
pravastatin,17,0.5140610825521621
avapro,15,0.4535833081342607
enalapril maleate,15,0.4535833081342607
verapamil,14,0.42334442092530994
"insulin isophane, human",14,0.42334442092530994
actos,14,0.42334442092530994
lopid,13,0.39310553371635926
losartan,13,0.39310553371635926
procardia,13,0.39310553371635926
zetia,13,0.39310553371635926
gemfibrozil,12,0.3628666465074085
metoprolol tartrate,12,0.3628666465074085
glucotrol,12,0.3628666465074085
becaplermin,12,0.3628666465074085
crestor,10,0.3023888720895071
carvedilol,9,0.2721499848805564
c1 esterase inhibitor (human),9,0.2721499848805564
nitromist,9,0.2721499848805564
dyazide,9,0.2721499848805564
